nohup: ignoring input
wandb: Appending key for api.wandb.ai to your netrc file: /home/navarro/.netrc
wandb: Currently logged in as: luismedrano2000 (luismedrano2000-university-of-zaragoza) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.11
wandb: Run data is saved locally in /home/navarro/FM-3D-Turbulence/wandb/run-20250522_171202-q1f6g7pk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run wobbly-darkness-151
wandb: ⭐️ View project at https://wandb.ai/luismedrano2000-university-of-zaragoza/fm
wandb: 🚀 View run at https://wandb.ai/luismedrano2000-university-of-zaragoza/fm/runs/q1f6g7pk
Loading config...
cuda:3
Loading dataset...
N_time: 100, N_channels: 4, Nx: 128, Ny: 128, Nz: 128
Data mean: tensor([ 0.0244, -0.4655, -0.2085, -0.0685]), std: tensor([0.5439, 0.5585, 0.7061, 0.3694])
Velocity shape: torch.Size([100, 3, 128, 128, 128])
Pressure shape: torch.Size([100, 1, 128, 128, 128])
Vorticity shape: torch.Size([100, 3, 128, 128, 128])
Vorticity magnitude shape: torch.Size([100, 1, 128, 128, 128])
Velocity mean: tensor([ 0.0244, -0.4655, -0.2085]), std: tensor([0.5439, 0.5585, 0.7061])
Pressure mean: tensor([-0.0685]), std: tensor([0.3694])
Vorticity mean: tensor([-0.0026,  0.0051,  0.0053]), std: tensor([0.0830, 0.0897, 0.0814])
Vorticity magnitude mean: tensor([0.1137]), std: tensor([0.0932])
Starting training...
Epoch [143/1000], Loss: 0.0033, Validation Loss: 0.0388
Epoch [144/1000], Loss: 0.0011, Validation Loss: 0.0255
Epoch [145/1000], Loss: 0.0011, Validation Loss: 0.0254
Epoch [146/1000], Loss: 0.0027, Validation Loss: 0.0244
Epoch [147/1000], Loss: 0.0019, Validation Loss: 0.0235
Epoch [148/1000], Loss: 0.0032, Validation Loss: 0.0444
Epoch [149/1000], Loss: 0.0019, Validation Loss: 0.0642
Saved checkpoint: runs/080/epoch_150_0.0019_0.0281.pth
Epoch [150/1000], Loss: 0.0019, Validation Loss: 0.0281
Epoch [151/1000], Loss: 0.0040, Validation Loss: 0.0199
Epoch [152/1000], Loss: 0.0012, Validation Loss: 0.0345
Epoch [153/1000], Loss: 0.0012, Validation Loss: 0.0256
Epoch [154/1000], Loss: 0.0010, Validation Loss: 0.0403
Epoch [155/1000], Loss: 0.0030, Validation Loss: 0.0405
Epoch [156/1000], Loss: 0.0015, Validation Loss: 0.0256
Epoch [157/1000], Loss: 0.0011, Validation Loss: 0.0247
Epoch [158/1000], Loss: 0.0011, Validation Loss: 0.0249
Epoch [159/1000], Loss: 0.0011, Validation Loss: 0.0294
Saved checkpoint: runs/080/epoch_160_0.0011_0.0262.pth
Epoch [160/1000], Loss: 0.0011, Validation Loss: 0.0262
Epoch [161/1000], Loss: 0.0010, Validation Loss: 0.0212
Epoch [162/1000], Loss: 0.0011, Validation Loss: 0.0648
Epoch [163/1000], Loss: 0.0011, Validation Loss: 0.0435
Epoch [164/1000], Loss: 0.0016, Validation Loss: 0.0222
Epoch [165/1000], Loss: 0.0034, Validation Loss: 0.0229
Epoch [166/1000], Loss: 0.0011, Validation Loss: 0.0305
Epoch [167/1000], Loss: 0.0010, Validation Loss: 0.0427
Epoch [168/1000], Loss: 0.0011, Validation Loss: 0.0283
Epoch [169/1000], Loss: 0.0015, Validation Loss: 0.0195
Saved checkpoint: runs/080/epoch_170_0.0033_0.0263.pth
Epoch [170/1000], Loss: 0.0033, Validation Loss: 0.0263
Epoch [171/1000], Loss: 0.0016, Validation Loss: 0.0242
Epoch [172/1000], Loss: 0.0012, Validation Loss: 0.0249
Epoch [173/1000], Loss: 0.0143, Validation Loss: 0.0302
Epoch [174/1000], Loss: 0.0097, Validation Loss: 0.0253
